Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"verifyElementPresent(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Alert_VendaInseridaComSucesso""), 0)",Chrome 71.0.3578.98,,2019-01-17 13:14:19,2019-01-17 13:14:19,"0,092s",PASSED
,,,,,,
Test Cases/Teste Venda/Teste_Cancelar_Venda,Chrome 71.0.3578.98,Cancelar uma venda no quadro de vendas,2019-01-17 13:14:19,2019-01-17 13:15:03,"43,779s",PASSED
"callTestCase(findTestCase(""Teste Venda/Teste_Venda_BotaoVenda""), [:], STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-17 13:14:19,2019-01-17 13:14:53,"33,751s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page Cancelar Venda/OpAcoes""))",Chrome 71.0.3578.98,,2019-01-17 13:14:53,2019-01-17 13:14:55,"1,707s",PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-17 13:14:55,2019-01-17 13:14:58,"3,002s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page Cancelar Venda/OpCancelar""))",Chrome 71.0.3578.98,,2019-01-17 13:14:58,2019-01-17 13:14:58,"0,139s",PASSED
"waitForElementPresent(findTestObject(""Page_Gemobile_Venda/Page Cancelar Venda/DivCancelarVenda""), 3)",Chrome 71.0.3578.98,,2019-01-17 13:14:58,2019-01-17 13:15:01,"3,164s",PASSED
"setText(findTestObject(""Page_Gemobile_Venda/Page Cancelar Venda/SetCampoMotivoCancelamento""), ""Teste cancelar uma venda"")",Chrome 71.0.3578.98,,2019-01-17 13:15:01,2019-01-17 13:15:02,"0,327s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Bt_Motivo de Cancelamento""))",Chrome 71.0.3578.98,,2019-01-17 13:15:02,2019-01-17 13:15:02,"0,158s",PASSED
"verifyElementPresent(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Alert_Venda cancelada com sucess""), 0)",Chrome 71.0.3578.98,,2019-01-17 13:15:02,2019-01-17 13:15:02,"0,034s",PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-17 13:15:02,2019-01-17 13:15:03,"0,973s",PASSED
,,,,,,
Test Cases/Teste Venda/Teste_Venda_BotaoVenda,Chrome 71.0.3578.98,Realizar uma venda pelo botão de venda na tela inicial,2019-01-17 13:15:03,2019-01-17 13:15:35,"31,932s",PASSED
"callTestCase(findTestCase(""Teste Tela de Login/Teste Login Valido""), [:], STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-17 13:15:03,2019-01-17 13:15:15,"12,716s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Bt_RealizarVenda""))",Chrome 71.0.3578.98,,2019-01-17 13:15:15,2019-01-17 13:15:16,"0,201s",PASSED
"waitForElementVisible(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/FormCadastro""), 0)",Chrome 71.0.3578.98,,2019-01-17 13:15:16,2019-01-17 13:15:16,"0,109s",PASSED
"selectOptionByValue(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Select_EscolhaFilial""), ""39"", false)",Chrome 71.0.3578.98,,2019-01-17 13:15:16,2019-01-17 13:15:16,"0,722s",PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-17 13:15:16,2019-01-17 13:15:17,"1,002s",PASSED
"selectOptionByValue(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Select_Escolha...Caixa""), ""1"", false)",Chrome 71.0.3578.98,,2019-01-17 13:15:17,2019-01-17 13:15:18,"0,172s",PASSED
